t_ns,t_s,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
1772565602039366033,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602140898376,0.10153216,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602190317067,0.150950912,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602240848507,0.20148224,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602291123986,0.251757824,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602342019155,0.302652928,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602441925382,0.402559232,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602493935905,0.454569728,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602594216800,0.55485056,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602644231128,0.604865024,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602696155611,0.656789504,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602794213394,0.754847232,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602844684746,0.805318656,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602944262758,0.904896512,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565602995975926,0.956609792,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603046974953,1.007608832,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603146636060,1.107269888,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603197000584,1.15763456,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603296695370,1.257329152,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603347154317,1.307788288,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603397711434,1.358345216,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603497256786,1.45789056,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603547903031,1.508536832,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603650144597,1.610778368,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603700639746,1.6612736,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603753761232,1.714395136,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603852928086,1.813561856,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603903150035,1.863783936,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565603953643697,1.914277632,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604054498664,2.015132416,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604104926695,2.065560576,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604155191805,2.115825664,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604205341066,2.16597504,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604255687275,2.216321024,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604305804825,2.266438656,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604355912885,2.316546816,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604455829677,2.416463616,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604506244779,2.46687872,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604556361307,2.516995072,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604607165953,2.567799808,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604707340813,2.667974656,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604756717459,2.717351424,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604855551589,2.816185344,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604906116183,2.866749952,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565604958287737,2.918921472,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605008932360,2.969566208,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605059716677,3.020350464,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605159272889,3.119906816,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605209904516,3.170538496,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605259845213,3.220478976,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605359805764,3.320439552,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605409772127,3.370405888,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605460405127,3.421039104,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605510611541,3.471245312,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605560957933,3.521591808,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605660951476,3.621585408,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605761047724,3.721681664,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605860993428,3.821627392,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565605960753427,3.921387264,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606011167462,3.971801344,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606063318717,4.02395264,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606113486433,4.074120192,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606213810554,4.174444288,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606314526224,4.275160064,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606365370143,4.326003968,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606415804426,4.376438272,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606467749765,4.428383744,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606516292708,4.476926464,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606566951804,4.527585536,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606617149804,4.577783552,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606667560627,4.62819456,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606767194309,4.727828224,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606866322978,4.8269568,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606917048663,4.877682432,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565606968060239,4.928694016,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565607070507611,5.031141376,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565607120739755,5.081373696,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565607220727940,5.18136192,-0.0,0.0,0.0,0.0,0.0,-0.0
1772565607323459107,5.284092928,-0.0,0.0,0.0,0.0,0.0,-0.0
