t_ns,t_s,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,wx,wy,wz
1772565603049552258,0.0,-4.839787483215332,-0.21122324466705322,-2.260443687438965,-0.00036597251892089844,-0.0005208253860473633,0.01706463098526001,0.9998542666435242,0.03413131395124065,0.0,0.0,0.0,0.0,0.0,0.0
1772565603193918284,0.144365824,-4.83978796005249,-0.21122363209724426,-2.260443925857544,-0.0003656446933746338,-0.0005207955837249756,0.017064854502677917,0.9998542070388794,0.03413175878319883,0.0,0.0,0.0,0.0,0.0,0.0
1772565603298079750,0.24852736,-4.839787483215332,-0.2112232744693756,-2.260443925857544,-0.00036600232124328613,-0.0005207955837249756,0.017064735293388367,0.9998542070388794,0.03413152063270026,0.0,0.0,0.0,0.0,0.0,0.0
1772565603396023234,0.346470912,-4.839787483215332,-0.21122342348098755,-2.260443925857544,-0.00036597251892089844,-0.0005207359790802002,0.017064779996871948,0.9998542070388794,0.03413160999988129,0.0,0.0,0.0,0.0,0.0,0.0
1772565603498651743,0.449099264,-4.839787483215332,-0.21122333407402039,-2.260444164276123,-0.00036594271659851074,-0.0005207657814025879,0.017064914107322693,0.9998542070388794,0.03413187833091144,0.0,0.0,0.0,0.0,0.0,0.0
1772565603598431924,0.548879616,-4.839787483215332,-0.21122336387634277,-2.260444402694702,-0.0003658234782051295,-0.0005207359208725393,0.017064912244677544,0.9998542070388794,0.0341318744559174,0.0,0.0,0.0,0.0,0.0,0.0
1772565603702842319,0.653289984,-4.839788436889648,-0.21122384071350098,-2.260443925857544,-0.0003655552864074707,-0.0005207955837249756,0.017065078020095825,0.9998542666435242,0.03413220795348446,0.0,0.0,0.0,0.0,0.0,0.0
1772565603836424279,0.786871808,-4.83978796005249,-0.21122342348098755,-2.2604446411132812,-0.00036588311195373535,-0.0005208253860473633,0.017064884305000305,0.9998542070388794,0.03413181868599959,0.0,0.0,0.0,0.0,0.0,0.0
1772565603905301099,0.855748608,-4.839788436889648,-0.21122366189956665,-2.260444402694702,-0.00036576390266418457,-0.0005207955837249756,0.017064973711967468,0.9998542070388794,0.0341319974300797,0.0,0.0,0.0,0.0,0.0,0.0
1772565604010798030,0.961245696,-4.839788436889648,-0.21122387051582336,-2.260444402694702,-0.00036561492015607655,-0.0005209744558669627,0.01706518419086933,0.9998542070388794,0.0341324185602283,0.0,0.0,0.0,0.0,0.0,0.0
1772565604122915205,1.073362944,-4.83978796005249,-0.21122366189956665,-2.2604446411132812,-0.0003657341003417969,-0.0005208253860473633,0.017065107822418213,0.9998542070388794,0.03413226576109772,0.0,0.0,0.0,0.0,0.0,0.0
1772565604249345437,1.199793152,-4.839787483215332,-0.21122369170188904,-2.2604448795318604,-0.00036579370498657227,-0.0005206763744354248,0.017065152525901794,0.9998542666435242,0.03413235718279176,0.0,0.0,0.0,0.0,0.0,0.0
1772565604349995203,1.30044288,-4.839787483215332,-0.2112238109111786,-2.2604448795318604,-0.0003656744956970215,-0.0005207657814025879,0.01706521213054657,0.9998542666435242,0.03413247639183193,0.0,0.0,0.0,0.0,0.0,0.0
1772565604450721003,1.40116864,-4.83978796005249,-0.21122387051582336,-2.2604448795318604,-0.00036558505962602794,-0.000520765723194927,0.01706516556441784,0.9998542070388794,0.034132381092576054,0.0,0.0,0.0,0.0,0.0,0.0
1772565604588942457,1.539389952,-4.83978796005249,-0.21122407913208008,-2.2604451179504395,-0.0003654360771179199,-0.0005206763744354248,0.017065271735191345,0.9998542666435242,0.03413259533339647,0.0,0.0,0.0,0.0,0.0,0.0
1772565604699074609,1.649522176,-4.83978796005249,-0.2112237811088562,-2.2604453563690186,-0.0003657042689155787,-0.000520765723194927,0.017065061256289482,0.9998542070388794,0.034132172509223645,0.0,0.0,0.0,0.0,0.0,0.0
1772565604815304428,1.765752064,-4.839788436889648,-0.2112242579460144,-2.2604453563690186,-0.00036528706550598145,-0.0005207955837249756,0.017065688967704773,0.9998542070388794,0.03413342807045476,0.0,0.0,0.0,0.0,0.0,0.0
1772565604901151310,1.851598848,-4.839788436889648,-0.21122398972511292,-2.2604453563690186,-0.000365376501576975,-0.0005207062349654734,0.017065631225705147,0.9998542070388794,0.034133312557470805,0.0,0.0,0.0,0.0,0.0,0.0
1772565605010997549,1.96144512,-4.839788436889648,-0.21122395992279053,-2.2604455947875977,-0.0003654658794403076,-0.0005207359790802002,0.01706559956073761,0.9998542070388794,0.0341332493167204,0.0,0.0,0.0,0.0,0.0,0.0
1772565605149817782,2.100265472,-4.83978796005249,-0.21122419834136963,-2.2604455947875977,-0.00036537647247314453,-0.0005207359790802002,0.017065614461898804,0.9998542070388794,0.03413327903900937,0.0,0.0,0.0,0.0,0.0,0.0
1772565605249359938,2.199807488,-4.839788436889648,-0.2112242579460144,-2.2604455947875977,-0.00036537647247314453,-0.0005208253860473633,0.01706567406654358,0.9998542070388794,0.03413339837206053,0.0,0.0,0.0,0.0,0.0,0.0
1772565605350608978,2.301056512,-4.839788436889648,-0.2112242579460144,-2.2604455947875977,-0.00036534667015075684,-0.0005207657814025879,0.01706579327583313,0.9998542666435242,0.03413363884928641,0.0,0.0,0.0,0.0,0.0,0.0
1772565605449783298,2.400230912,-4.839788436889648,-0.2112244963645935,-2.2604455947875977,-0.00036522746086120605,-0.0005208849906921387,0.017066046595573425,0.9998542070388794,0.03413414364843769,0.0,0.0,0.0,0.0,0.0,0.0
1772565605562221530,2.512669184,-4.839788436889648,-0.21122431755065918,-2.2604458332061768,-0.00036525726318359375,-0.0005208253860473633,0.01706579327583313,0.9998542666435242,0.03413363880397461,0.0,0.0,0.0,0.0,0.0,0.0
1772565605664235826,2.614683392,-4.83978796005249,-0.21122336387634277,-2.260446071624756,-0.0003650784492492676,-0.0005206465721130371,0.01706525683403015,0.9998542070388794,0.034132563088826604,0.0,0.0,0.0,0.0,0.0,0.0
1772565605762281026,2.712728576,-4.83978796005249,-0.21122336387634277,-2.260446548461914,-0.0003649294376373291,-0.0005206763744354248,0.01706521213054657,0.9998542070388794,0.034132473511562476,0.0,0.0,0.0,0.0,0.0,0.0
1772565605904416646,2.854864384,-4.83978796005249,-0.21122339367866516,-2.260446786880493,-0.0003649890422821045,-0.0005207657814025879,0.017065227031707764,0.9998542070388794,0.034132503460526875,0.0,0.0,0.0,0.0,0.0,0.0
1772565605992360012,2.942807552,-4.83978796005249,-0.2112235426902771,-2.2604470252990723,-0.0003649592399597168,-0.0005207955837249756,0.01706536114215851,0.9998542070388794,0.03413277179150505,0.0,0.0,0.0,0.0,0.0,0.0
1772565606115445228,3.065892864,-4.83978796005249,-0.2112235128879547,-2.2604475021362305,-0.0003648996353149414,-0.0005207061767578125,0.01706536114215851,0.9998542070388794,0.03413277165789085,0.0,0.0,0.0,0.0,0.0,0.0
1772565606215727252,3.166174976,-4.83978796005249,-0.2112235724925995,-2.2604475021362305,-0.0003648996353149414,-0.0005207061767578125,0.01706555485725403,0.9998542070388794,0.03413315925743206,0.0,0.0,0.0,0.0,0.0,0.0
